Date,BCOLOMBIA.CL,BOGOTA.CL,BVC.CL,CELSIA.CL,CNEC.CL,CORFICOLCF.CL,ECOPETROL.CL,ENKA.CL,GEB.CL,GRUBOLIVAR.CL,GRUPOARGOS.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,ISA.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFBCOLOM.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,PROMIGAS.CL,TERPEL.CL,AAPL,BRK-B,CBU7.L,CENCOSUD.SN,CHILE.SN,EIMI.L,F,FALABELLA.SN,GE,JNJ,LQDA,NKE,PFE,UBER
2020-03-15,20009.82421875,53298.01171875,6549.05908203125,2986.37060546875,47095.17578125,17715.01953125,1226.8863525390625,8.812774658203125,1125.2593994140625,55393.5078125,8899.8037109375,838.7853393554688,17976.296875,9520.2578125,9679.4560546875,12509.4609375,2782.7548828125,16703.65234375,749.4568481445312,20306.59375,14781.7001953125,27217.384765625,7711.9384765625,14778.248046875,5022.1455078125,5430.66796875,67.45748901367188,196.39999389648438,137.22000122070312,605.2085571289062,54.227176666259766,23.530000686645508,4.44310188293457,2286.700439453125,38.30833435058594,116.7081527709961,4.0,71.193359375,24.8975830078125,22.600000381469727
2020-03-22,13083.3447265625,40795.99609375,5730.4267578125,2662.240234375,50994.7734375,14159.1337890625,939.1372680664062,8.812774658203125,1205.6348876953125,45269.30859375,6025.73876953125,710.8351440429688,13884.552734375,7351.853515625,7570.884765625,10516.1083984375,2169.604736328125,13885.337890625,531.3685302734375,14973.5498046875,14781.7001953125,21471.685546875,5383.38232421875,8987.5888671875,4972.4208984375,4827.259765625,55.63174057006836,170.05999755859375,138.22000122070312,442.1529846191406,54.21937561035156,21.309999465942383,3.4171626567840576,1655.2266845703125,31.81788444519043,104.1934814453125,4.110000133514404,63.53520965576172,22.081289291381836,21.329999923706055
2020-03-29,17980.85546875,48797.28515625,5662.20751953125,3059.208740234375,54194.453125,16104.5654296875,1176.2933349609375,8.812774658203125,1213.94970703125,48531.95703125,11137.0048828125,781.9185791015625,18832.31640625,8982.7685546875,9246.138671875,13027.419921875,2546.927978515625,15943.62890625,653.5548706054688,18556.259765625,14036.404296875,27317.025390625,7487.31982421875,12817.8671875,4985.953125,5215.90380859375,60.121307373046875,179.66000366210938,140.97999572753906,544.6812133789062,50.01444625854492,22.219999313354492,4.095860004425049,1521.2777099609375,37.18593978881836,107.03536987304688,4.650000095367432,78.39934539794922,23.519882202148438,27.280000686645508
2020-04-05,17015.03125,50242.703125,5764.5361328125,3000.937744140625,50794.80078125,17070.83984375,1435.583740234375,8.812774658203125,1211.177978515625,47716.30859375,9879.599609375,781.9185791015625,17086.041015625,8923.048828125,9165.5966796875,12164.1552734375,2438.44775390625,16090.654296875,643.609375,16980.958984375,13179.314453125,24182.283203125,6439.09423828125,12440.875,4985.953125,5215.90380859375,58.58514404296875,178.33999633789062,141.16000366210938,628.6973876953125,62.324031829833984,22.15999984741211,3.3461363315582275,1844.6689453125,32.84268569946289,116.60387420654297,4.949999809265137,74.2829818725586,25.6054630279541,22.81999969482422
2020-04-12,18659.34375,49244.515625,5866.865234375,3044.640869140625,52594.859375,17380.046875,1492.5010986328125,8.812774658203125,1263.8380126953125,48939.8046875,9455.0234375,785.489013671875,19688.330078125,8923.048828125,9696.099609375,13498.2900390625,2589.9072265625,16907.4453125,672.0584106445312,18364.90625,13912.189453125,25436.1796875,6663.7138671875,13164.7060546875,4985.953125,5378.90087890625,65.03555297851562,193.83999633789062,140.63999938964844,669.281494140625,60.845985412597656,23.959999084472656,4.237913608551025,2009.2347412109375,34.843509674072266,122.73956298828125,5.5,81.75271606445312,26.9374942779541,27.110000610351562
2020-04-19,18945.3125,48565.734375,5989.65966796875,3132.04736328125,50395.078125,16993.5390625,1233.2105712890625,7.49085807800293,1313.7261962890625,50589.01171875,9300.4912109375,785.489013671875,20647.06640625,8923.048828125,9994.314453125,14126.1162109375,2782.1083984375,18759.93359375,678.5203857421875,19056.875,13775.5517578125,26546.771484375,7336.85693359375,14748.0888671875,4985.953125,5281.1025390625,68.62963104248047,191.1999969482422,141.24000549316406,694.2727661132812,58.38258743286133,24.09000015258789,4.040617942810059,2104.912841796875,33.37949752807617,132.11688232421875,7.300000190734863,84.69164276123047,28.09446144104004,28.0
2020-04-26,16471.6953125,44586.2578125,6378.51123046875,3168.607666015625,51494.98046875,16619.91015625,1321.748779296875,7.667114734649658,1258.2947998046875,47401.66015625,7498.00634765625,796.2491455078125,18395.53125,9397.3017578125,9529.65625,14361.55078125,2959.893798828125,18923.765625,588.7693481445312,16745.69140625,13166.8935546875,26349.734375,6414.0771484375,14427.337890625,5000.259765625,4889.91015625,68.6708755493164,186.52000427246094,141.3000030517578,679.24951171875,55.590728759765625,23.700000762939453,3.8433213233947754,1985.3155517578125,30.549070358276367,134.58509826660156,6.0,83.24100494384766,28.45220947265625,29.489999771118164
2020-05-03,18101.70703125,42589.84765625,6392.154296875,3094.91943359375,50195.09375,16619.91015625,1446.3115234375,7.138347148895264,1241.66552734375,47483.38671875,7588.54345703125,796.2491455078125,18533.326171875,9471.0771484375,9385.7900390625,14283.0732421875,2950.284423828125,18071.794921875,606.7194213867188,17908.20703125,13477.4326171875,25722.783203125,6126.6533203125,14351.32421875,4993.119140625,4824.7109375,70.15120697021484,182.6699981689453,141.22000122070312,719.1216430664062,60.43541717529297,23.780000686645508,3.882781505584717,2181.455078125,31.72028160095215,128.8751983642578,5.130000114440918,80.57528686523438,28.650104522705078,28.389999389648438
2020-05-10,17158.01953125,42001.91796875,6105.6328125,3142.816650390625,49995.12109375,16619.91015625,1411.7108154296875,7.050219535827637,1208.406494140625,47074.74609375,7308.705078125,799.8521118164062,17585.990234375,8973.107421875,9434.87890625,13969.1591796875,3075.21484375,18612.46484375,581.544921875,16953.28515625,13340.7958984375,24379.326171875,6013.197265625,13819.2294921875,4993.119140625,4889.91015625,75.26204681396484,176.8300018310547,141.47999572753906,674.336669921875,58.300472259521484,24.170000076293945,4.135318756103516,2301.052001953125,30.69546890258789,129.23155212402344,6.78000020980835,85.20972442626953,28.330415725708008,32.790000915527344
2020-05-17,15385.0263671875,39192.8671875,5839.578125,2977.017822265625,48345.28515625,15679.4052734375,1335.5892333984375,7.455605983734131,1230.2215576171875,43315.3125,6880.71728515625,799.8521118164062,16363.0634765625,9187.806640625,8884.7255859375,14283.0732421875,3065.6044921875,18268.40234375,544.701416015625,15361.75,12421.5986328125,22301.44140625,5302.20263671875,12314.1650390625,4943.11572265625,4759.5126953125,74.87689208984375,169.25,141.6199951171875,733.072265625,54.605369567871094,24.110000610351562,3.866997003555298,2047.65771484375,26.79143714904785,130.74375915527344,7.369999885559082,81.94112396240234,29.027881622314453,32.470001220703125
