,TERPEL.CL,CELSIA.CL,ISAC.CL,C,FALABELLA.SN,PFGRUPSURA.CL,IUFS.CL,MINEROS.CL,HCOLSEL.CL,GEB.CL,index
2023-08-27,0.06141920207412466,0.06952333633920578,0.08574144066736379,0.09554846098359361,0.09590545283795177,0.09954424850865475,0.1116883725411833,0.12198638495441456,0.12663407638746604,0.13200902470604173,1.0
2023-08-28,0.06141920207412466,0.06870541285994634,0.08482483368650412,0.09573379687342659,0.09658563177425253,0.0956421085417138,0.1112409479140779,0.1178994041617577,0.12663407638746604,0.13028195529906816,0.9889673695723379
2023-08-29,0.06115544482264325,0.06775117386105942,0.08482483368650412,0.09666056918554858,0.09522527390165099,0.09715518891544521,0.1112409479140779,0.12192153109277992,0.12663407638746604,0.12765378829557814,0.9902228280627536
2023-08-30,0.0601216121433369,0.06766937240468514,0.08482483368650412,0.09584965269873753,0.09323007529921654,0.0973144554871035,0.1112409479140779,0.12185667723114528,0.12663407638746604,0.1269779650981908,0.9857196683504639
2023-08-31,0.06055414368168985,0.06679691968142527,0.08482483368650412,0.09566430752260885,0.09522980827934663,0.09954424850865477,0.11372974740235163,0.1213378542547992,0.12649336540801703,0.12134619663911747,0.9855214250645149
2023-09-01,0.05968908528925504,0.06679691968142527,0.08482483368650412,0.09635936818410892,0.09567872281219246,0.09556247961433718,0.11372974740235163,0.11760823470655012,0.12276470227733756,0.1224725457549744,0.9754866394090367
2023-09-04,0.059778184809393356,0.06357977398432202,0.0863783039592598,0.09635936818410892,0.09386491602904945,0.09476612060533064,0.11238747352103544,0.11485915772916085,0.12276470227733756,0.12337213328543942,0.9681101343844375
2023-09-05,0.059689085289255046,0.06461581064439641,0.0863783039592598,0.09582648339093447,0.09318473152226012,0.0923770610121211,0.11238747352103544,0.11984626293758906,0.12276470227733756,0.12142127666559951,0.9684911912197885
2023-09-06,0.05878077233770361,0.06314354382750528,0.0863783039592598,0.0958496526987375,0.09250455258595934,0.0938901326689475,0.11238747352103544,0.11984626293758906,0.12000923368108128,0.12239745428859802,0.9651873825064168
2023-09-07,0.060554143681689855,0.0610714780977301,0.0863783039592598,0.09436683557193372,0.09181983927196292,0.09396975287941912,0.11238747352103544,0.11926260193307063,0.12000923368108128,0.1260768789415686,0.9658965415387515
2023-09-08,0.060554143681689855,0.06079883946810149,0.0863783039592598,0.09404247454898673,0.09295800706698937,0.09715518891544524,0.11238747352103544,0.11900318648653199,0.12000923368108128,0.1252508956912172,0.9685377470203383
2023-09-11,0.06019842950471371,0.0613441167273587,0.08428915428210561,0.09404247454898673,0.09386491602904944,0.09707554255425857,0.10981478191517943,0.11556020010653782,0.12000923368108128,0.1232234489788438,0.9594222983281151
2023-09-12,0.06055414368168986,0.06352523714994797,0.08428915428210561,0.09656788266804064,0.09567872281219246,0.09707554255425857,0.10981478191517943,0.12315370696345153,0.12311646251711628,0.12465017540010055,0.9784258099440829
2023-09-13,0.0582051597393315,0.062434686426620346,0.08428915428210561,0.09816652776126825,0.0954520039274103,0.09014726799056988,0.10981478191517943,0.11784038493098553,0.12311646251711628,0.12690288507170874,0.9663693145622959
2023-09-14,0.06055414368168986,0.059980912193655256,0.08428915428210561,0.09995053660321597,0.09522527390165099,0.08799711261330029,0.10981478191517943,0.12315370696345153,0.12311646251711628,0.12690288507170874,0.9709849697430739
2023-09-15,0.055104270656652354,0.060253554618470664,0.08428915428210561,0.09895427494027624,0.09477181385013239,0.08441352322348597,0.10981478191517943,0.11718603543397003,0.12311646251711628,0.12314836895236177,0.9510522403897508
2023-09-18,0.05813197737230973,0.0628981698198769,0.08428915428210561,0.09879209907195059,0.09477181385013239,0.08736002017595206,0.10981478191517943,0.12315370696345153,0.12311646251711628,0.12314836895236177,0.9654765549204364
2023-09-19,0.057137159986796145,0.06461581064439643,0.08222083658178914,0.09888476701686708,0.09477181385013239,0.08712112467691711,0.10869622034741595,0.12315370696345153,0.12311646251711628,0.12239745428859805,0.9621153568734802
2023-09-20,0.057612941399994635,0.06420684131439312,0.08222083658178914,0.0980043518929426,0.09295800706698938,0.08759893310879702,0.10869622034741595,0.11867893301182103,0.12311646251711628,0.12164655106472866,0.9547400783059877
2023-09-21,0.057612941399994635,0.06270732126106217,0.08222083658178914,0.09663738130515406,0.09268593326427364,0.08736002017595204,0.10869622034741595,0.11867893301182103,0.12311646251711628,0.12089564784085927,0.9506116977054382
2023-09-22,0.05746267935241582,0.06337364220824743,0.08222083658178914,0.09480704313389594,0.09245920323851435,0.08799711261330029,0.10869622034741595,0.1171873337778797,0.12311646251711628,0.12044511048249536,0.9477656442530703
2023-09-25,0.05795896382011435,0.06270732126106218,0.08043821456381854,0.09503873621192646,0.09137091916862856,0.08887310926658847,0.10623538489833631,0.11660368069009241,0.12311646251711628,0.12389927217623117,0.9462420645739147
2023-09-26,0.05795896382011435,0.06761485075105834,0.08043821456381854,0.09318523801916101,0.09145253796715014,0.08936502165079407,0.10623538489833631,0.11653882682845774,0.12311646251711628,0.12014474461698986,0.9460502456329968
2023-09-27,0.05795896382011435,0.06922343308757699,0.08043821456381854,0.09374126426125137,0.09064539088488278,0.08936502165079407,0.10623538489833631,0.11653882682845774,0.12757209604516762,0.12765378829557814,0.9593723843359779
2023-09-28,0.06055414368168987,0.07088654466809606,0.08043821456381854,0.09545578375238135,0.0904640102065685,0.09838350543591558,0.10623538489833631,0.11543632701413091,0.12757209604516762,0.12915560618321126,0.974581616449316
