Date,BCOLOMBIA.CL,BHI.CL,BOGOTA.CL,BVC.CL,CELSIA.CL,CEMARGOS.CL,CNEC.CL,CONCONCRET.CL,CORFICOLCF.CL,ECOPETROL.CL,ENKA.CL,ETB.CL,EXITO.CL,GEB.CL,GRUBOLIVAR.CL,GRUPOARGOS.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,ISA.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFBCOLOM.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,PROMIGAS.CL,TERPEL.CL
2023-11-27/2023-12-03,0.05937924261803196,-0.009748567671106323,0.005756523603656083,0.08076919328071663,-0.024000127013360184,0.016791021770274916,-0.02512080275758266,-0.05439330543933052,-0.008305664367149301,-0.011650487806014298,0.0,0.0,0.0,0.03783798696288265,0.029230197883818754,0.09957629078862795,0.02232132836728895,-0.01650789951167242,0.008493477396361193,0.008657191364529693,-0.0013122740246337417,0.011904711733432993,0.024180308897015612,0.025171782904881645,-0.00354857479327908,-0.034050154690088874,-0.002564102564102555,0.04564903782329455,0.014754056783142566,0.009685307058290071,0.019999965963034994
2023-12-04/2023-12-10,0.01847132229024373,0.02955668986661597,-0.008161811740107328,0.014234846728596873,0.002049326998280865,0.06122076365432316,-0.008919737077831114,-0.02212389380530977,0.018606521996223258,-0.0314342285517859,0.016666599874621824,0.0,0.0,-0.06510416037350564,-0.006000085744791717,0.0019266931040686774,0.10054667425039465,-0.015493857023826774,0.0,-0.005079719352483747,0.03810774057354238,0.011764656884579283,0.0,-0.011949760864086612,-0.006410197169032128,-0.007842548794833926,0.016709511568123503,0.013642607718495903,-0.0226170239300737,-0.0071942693841799965,-0.030812327691650543
2023-12-11/2023-12-17,-0.005628513249213762,-0.009569366113273525,0.021666747640058714,0.01578950077898722,0.11860943749510966,0.09964406214749055,-0.04299995156189451,0.06334841628959276,0.023931623931623847,-0.04056786494654219,-0.016393378002854786,0.0,-0.002274008446598641,0.06538772156481532,0.20563386090278213,0.17307703387582007,-0.08399991242830229,-0.03016394253786636,0.05921982871944831,0.04445427654055778,-0.04050633699801409,0.0029070180070460694,-0.019607851642461926,0.04783595374569338,0.028673811592863974,0.023391812865497075,0.060682680151706636,0.09017494003636428,0.06776853472046818,0.048309175019473294,0.013005792220172063
2023-12-18/2023-12-24,0.012578606071404597,0.0,0.08075016853591133,0.0,0.07129785531449007,-0.004854287102580956,0.08986415509760737,0.11063829787234036,0.026711185308847973,0.007590198825167649,-0.05555554283326125,0.12101910828025475,0.0,0.09422369938234643,-0.0286646545418473,-0.0016393516315598156,0.017467286271272142,0.006761384049826846,0.016906648117713363,0.01436999137389705,0.021249025776136854,-0.008695633713112993,-0.006502288082987695,0.0021738577846506235,0.01742162687965032,0.0323809523809524,0.05601907032181175,-0.01728395361167867,0.03250767521810349,0.02466796087848855,0.06990017989911457
2023-12-25/2023-12-31,0.03105594281790669,0.028985470923048817,0.03622648926486294,-0.0069084028691807076,0.010239008024131024,-0.006504037096290327,-0.0028763541312525343,0.003831417624521105,0.09756097560975618,-0.004255288292096204,0.0,0.07954545454545459,0.0,0.027027066354009976,0.017598488749184238,0.019704438837276683,0.012110549051448816,-0.015692773396664417,0.025514378901222212,0.005359106012249537,0.029255243615629922,0.07309937763249064,0.0,0.060432673398247205,0.024657454244771282,0.04243542435424352,0.08239277652370203,0.06281407214687285,0.011994118404188292,0.07728329728606886,0.03333333814664141
2024-01-01/2024-01-07,0.14282008758483333,0.13615028384611705,0.08276924346194803,0.0,0.06081077396530099,0.05237309779849042,-0.04325728226586367,0.09541984732824438,0.11703703703703705,0.04487182920792443,0.0823528727138001,-0.04210526315789476,-0.002848989183716233,0.16842108885068607,0.03424861978116356,0.10305955419517954,0.06837610769775138,0.06896545966235412,0.07544139285695772,0.08099173958070005,0.09819132651385254,0.05177118550313664,-0.0004444459091069719,0.037113442635202665,0.14426729784935066,0.10442477876106193,0.04171011470281538,0.08983460089406581,0.13841947804272947,0.05217403760246575,0.033548369426273705
2024-01-08/2024-01-14,-0.05149048411934376,0.028925583357346296,-0.0013587350684718391,0.0,0.0,0.02643859403658566,-0.025125628140703515,0.09756097560975618,0.12201591511936338,-0.028629993017721067,-0.07608689808095159,-0.03296703296703296,0.0,0.04054053897994603,-0.008196625887325837,0.018475283706523404,0.009999951153597753,-0.006451581829923336,0.0,-0.007645215646995274,0.0411763087113417,0.05440409018479486,0.004890989713229876,0.02186884227090724,-0.06084341178810093,0.04326923076923084,0.013013013013013053,0.05811504602529616,0.03333335608267296,0.03512398067911415,0.04619227773653645
2024-01-15/2024-01-21,-0.03885717284604395,0.008032118669696775,0.015646188027535146,0.0,0.05241315275952374,-0.01363636259151646,-0.015463917525773141,0.0031746031746031633,-0.048463356973995286,-0.03999989089213818,0.0,0.2272727272727273,-0.03571439687482847,-0.030303016850349862,0.028282785258558762,-0.021739125687856853,0.03168309145051107,0.03896098110928348,-0.014850728221268539,-0.018875230641138496,-0.02711852525601921,-0.03194100423239066,-0.013371123495015902,-0.009727729966483523,0.002565712732005343,-0.001536098310291889,-0.0019762845849802257,0.054166737767759265,0.0903225082070993,0.00798399896904356,-0.021479732110109784
2024-01-22/2024-01-28,-0.014268661811782102,-0.007968117801937513,0.014065739086756679,-0.09687567472975778,0.027863717344065897,0.010752739124368915,-0.010471204188481686,0.012658227848101333,0.001242236024844745,0.006578961185055521,-0.011176563048498123,-0.03583335876464844,0.013333490809539494,-0.04017862661121041,-0.044516114303087884,0.0059259543646603685,-0.03696726670137662,0.01562505122977953,0.012044557391199806,0.015194388724764307,-0.0197445665012993,0.012699209791144028,-0.007640269405551847,-0.03929283738792788,-0.017914229823008943,0.023076923076922995,0.004950495049504955,0.021739130434782705,0.04142026960189704,0.04356427912388772,-0.02439022135347879
2024-01-29/2024-02-04,0.03136309993506603,0.02811247662507621,0.055331466280152286,-0.0294562356441318,-0.03313249562708431,-0.03343469740990157,-0.07301587301587298,-0.03749999999999998,0.011166253101736912,0.010893228005210531,-0.0481855003832673,0.017958348179257788,-0.19005849879468895,0.030232571589141832,0.058406577483369526,0.011782014644547756,0.01577877991210075,-0.052307687341132114,0.014895190981197404,-0.011486240307740592,0.004739456134997155,-0.04761912046244765,0.03442013316776493,0.025957953310998816,0.028664453515208965,-0.015037593984962405,-0.044334975369458074,-0.005802779496839272,-0.09204553135090698,-0.051233335892121534,-0.013750034351226126
