Date,BCOLOMBIA.CL,BHI.CL,BOGOTA.CL,BVC.CL,CELSIA.CL,CEMARGOS.CL,CNEC.CL,CONCONCRET.CL,CORFICOLCF.CL,ECOPETROL.CL,ENKA.CL,ETB.CL,EXITO.CL,GEB.CL,GRUBOLIVAR.CL,GRUPOARGOS.CL,GRUPOAVAL.CL,GRUPOSURA.CL,GXTESCOL.CL,HCOLSEL.CL,ICOLCAP.CL,ISA.CL,LTMCO.CL,MINEROS.CL,NUAMCO.CL,NUTRESA.CL,PEI.CL,PFAVAL.CL,PFBCOLOM.CL,PFCEMARGOS.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,PORT.CL,PROMIGAS.CL,TERPEL.CL
2021-10-18,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2021-10-19,-0.012441941321986283,,0.003784314563354041,0.0188487498614911,0.0,-0.015625021522542526,-0.01578067840116537,0.048359837893642954,-0.001351303441937568,-0.002364843112704351,0.0,-0.023023053219493717,0.0034072567853860036,0.0027388741095837332,0.0,-0.001654211782620596,-0.006145469941786663,-0.0176600560683835,,-0.006332751438054118,-0.010800857777710338,-0.010988807863977268,,0.007853415690609156,,-0.000896828462507604,,-0.01298697052973885,-0.011560682293616398,,0.0420354255024431,-0.008405645038303988,-0.002275221983185083,-0.0015749609646185103,,-0.0006843794173839735,0.011627972528641894
2021-10-20,0.0029298302007991772,,-0.006462959286759218,0.0,0.00697671672840694,-0.007936569017365724,0.005907170380730076,-0.01290320153123481,0.0,-0.005418290720867747,0.0,0.014344278153345602,-0.006791099599962602,-0.004097089751331051,-0.004411845146464088,-0.01574123643281855,-0.007067223560665803,0.01123606091887086,,-0.001649552835726209,-0.00020916828778017038,0.008444324208172871,,0.009091177182191768,,-0.013465012073802574,,0.004385860256378438,-0.001754499420277944,,-0.00042462871448945005,-0.0052617161102243015,-0.010262224216873395,-0.006835039387267261,,-0.01575336416543016,0.0
2021-10-21,-0.005550838032764349,,0.0,0.006999970952678458,-0.00023088084080580273,-0.011199986136785633,-0.0016779639742445784,0.01960791165078346,-0.002368201760991173,-0.009193123267929981,0.0,0.008585843172940422,-0.009401729916649337,-0.004113944953035742,0.0,-0.002525555396539758,0.0,-0.001333508805234307,,0.0,-0.0034894230149851158,-0.007492301451371364,,0.0,,0.0077343333939303704,,-0.004366708483190873,-0.0005857549179139054,,0.0,0.012635955695227574,0.0,0.006882078666015756,,0.0020877715027296517,-0.005747274560763738
2021-10-22,-0.01703864395218191,,-0.004065643743685898,-0.01390274694972149,-0.0039269666016359395,0.003236067232761153,-0.0008403921348487664,-0.022436008939676677,-0.0020345562999108946,-0.006872836237618807,0.0,-0.00400602435645081,0.0,-0.0013768438927042048,0.0,-0.004219381384717669,0.005337919774096367,-0.008455666836153175,,-0.005182070236347425,-0.0015404400001712837,-0.0008879661496287161,,0.017760364669700435,,-0.011286887290293812,,0.0,-0.015240305847715407,,-0.0016992364025272266,-0.01683117217408925,-0.005760519109358375,-0.011566796835541515,,0.0,-0.02312128603906838
2021-10-25,0.02211590168154154,,0.0028575831092372272,0.0030211981593264436,-0.008812711421929853,0.008064681577820032,0.004205429228255619,0.0,-0.0037376108446056655,0.0,0.06666678209598875,-0.005027652240755964,-0.006902567999548248,-0.022954108115545657,-0.0007383384600012644,0.010169480914544726,0.0,0.005386019812414045,,0.0,-0.00021058628620163056,0.00888880628735933,,0.0025292736923117065,,0.00228323006312392,,-0.0008774018791947169,0.0071429149038026996,,-0.00340436143447187,0.002361318759913855,0.00579389495194671,0.0,,0.0,0.022485245765777817
2021-10-26,0.00877196354043841,,0.008008798713023957,0.009036107493078038,0.003743595083135709,0.00479993648713406,0.0,-0.016393465262495854,0.01637106395356036,0.013840907014925241,0.031249960546622768,0.0,-0.000868818075790867,-0.00681503453032084,0.0,0.011745095161459496,0.012883125193286604,-0.006696433141100022,,0.0055863318334867795,0.007365875118673371,0.004405245767404864,,0.011604357417855038,,0.0068338794172253525,,0.01806978385390079,0.0165484624078982,,0.003415990701476579,0.011484060649460393,0.010944487249476165,0.002127569609828406,,0.0,0.005208280564434675
2021-10-27,-0.0014491665787148555,,0.0,-0.00497504251609493,0.0020978865170357963,-0.001592268872848135,-0.010050199631152168,0.0,-0.005033518013043858,-0.021501724354626273,0.0,0.019706969558136667,0.0,-0.01047306013256133,0.0,-0.02570480266861741,-0.004385970842948561,0.005393183617331321,,-0.004203998682152932,0.00013960399787982247,-0.002193065383827131,,-0.0037405929564110485,,-0.004977297242180767,,-0.007792311703632593,-0.0026162902056959814,,0.010638304510079521,0.0014555691520257152,-0.0028489407318580406,-0.006369287828973835,,0.0,-0.00403002527381513
2021-10-28,0.0011611226082897108,,0.026752776408021095,0.004999917317325631,-0.0023261132141877416,0.007974442896726108,0.0033839229617820266,0.0,0.0006744722772915601,0.008022265269190587,0.0,0.0,0.0,0.010583906016711886,-0.0007389523078309423,0.0034041560882154265,0.0044052923266479915,-0.00983472453927181,,-7.5605317055083e-05,-0.003342457586418157,-0.0008788857079924384,,0.00876078015149706,,0.00954975702843841,,0.0069808668470041635,-0.006120822636154877,,0.004210528915282508,0.004360422396237906,-0.005714160769079379,0.010149436965540604,,0.02361097223725106,0.018497184522287435
2021-10-29,-0.02348517746859058,,-0.0011844115035526404,-0.023880623137186197,-0.0011658048503326857,0.004746872332916929,-0.011804314276041672,-0.006333251503634174,0.0,-0.014878819713844749,0.0,-0.003964336172743388,0.017391401368483717,-0.01769600531159965,-0.0010352572558915973,0.0008481517810048356,-0.0035087361085908153,-0.009029156210731748,,0.0,-0.006086908908660815,-0.005279606653697644,,-0.0012405755698704501,,-0.008558656089823202,,-0.0034662360908912504,-0.008797586663543244,,-0.006289312042710771,-0.018523792011207796,-0.011494484182817954,-0.001057661500979079,,0.0,-0.0022701756684281316
