,TERPEL.CL,CELSIA.CL,ISAC.CL,C,FALABELLA.SN,PFGRUPSURA.CL,IUFS.CL,MINEROS.CL,HCOLSEL.CL,GEB.CL,index
2023-08-28,0.0,-0.011764732855580662,-0.010690361320328967,0.0019397056522427736,0.007092182104077471,-0.039200054502412374,-0.0040060090135203286,-0.033503581520053505,0.0,-0.013082964674721365,-0.011032630427662116
2023-08-29,-0.0042943776958074276,-0.013888847459982645,0.0,0.009680722403053954,-0.014084474549807546,0.015820232288913605,0.0,0.03411490464789679,0.0,-0.020172916482999903,0.0012694640177650651
2023-08-30,-0.0169049981126711,-0.0012073806505852325,0.0,-0.00838932041931617,-0.02095240602295456,0.0016393007253261427,0.0,-0.0005319311614064848,0.0,-0.005294188338715866,-0.004547622600359236
2023-08-31,0.007194277114887404,-0.012892874460875836,0.0,-0.001933707331326917,0.02144944079163369,0.02291327645404917,0.02237305178481641,-0.0042576491344986644,-0.0011111620462921357,-0.04435232880538231,-0.0002011152788304882
2023-09-01,-0.01428570102455895,0.0,0.0,0.007265621625242025,0.004714012775590026,-0.03999998949182282,0.0,-0.03073747736149346,-0.029477143869580003,0.009282113053832974,-0.010182209539301823
2023-09-04,0.001492727182977216,-0.048163084651908994,0.018313861698768585,0.0,-0.018957263745078667,-0.008333385783002023,-0.01180231128596032,-0.023374868131033733,0.0,0.007345217860211584,-0.007561871917659446
2023-09-05,-0.0014905022697228043,0.016295066735057206,0.0,-0.005530181478113239,-0.0072464189557132075,-0.025210060071564788,0.0,0.04341930854297105,0.0,-0.0158127817675513,0.0003936089725919967
2023-09-06,-0.015217404440857618,-0.02278493146195326,0.0,0.00024178397227125892,-0.007299253055617738,0.016379300664564944,0.0,0.0,-0.022445120992770407,0.008039592811126095,-0.003411294540749177
2023-09-07,0.03016924197249371,-0.03281516373923554,0.0,-0.015470239954487819,-0.007401941794812239,0.0008480146763916174,0.0,-0.004870080970504453,0.0,0.030061284152977263,0.0007347371559014437
2023-09-08,0.0,-0.004464254642606136,0.0,-0.0034372353484263263,0.012395663116500089,0.033898525200056984,0.0,-0.0021751617215615138,0.0,-0.00655142526754815,0.0027344600254797236
2023-09-11,-0.005874316031054705,0.008968547163524354,-0.024186046511627923,0.0,0.009756114515304892,-0.000819784944847135,-0.022891266484200146,-0.028931883940635728,0.0,-0.016187083542872904,-0.009411557495065614
2023-09-12,0.005909027526179722,0.03555549478824793,0.0,0.026853909695224276,0.019323586062567566,0.0,0.0,0.06571039899474962,0.02589158134525138,0.011578367860014316,0.01980724405622336
2023-09-13,-0.038791464952523835,-0.017167204283762616,0.0,0.016554625089203467,-0.002369585192176893,-0.07136992883471405,0.0,-0.04314382541520112,0.0,0.018072254325976367,-0.012322339884386357
2023-09-14,0.04035697097779911,-0.039301458426463265,0.0,0.0181732906585661,-0.002375330180932944,-0.02385158668917753,0.0,0.0450891435527625,0.0,0.0,0.004776284916361062
2023-09-15,-0.09000000154713472,0.004545486469681448,0.0,-0.009967546916678338,-0.004761971616767724,-0.04072394290437975,0.0,-0.04845710029055417,0.0,-0.029585742808175053,-0.020528360350003605
2023-09-18,0.054945046537729025,0.04389143874003976,0.0,-0.0016388970403100611,0.0,0.034905508500873594,0.0,0.05092476682380864,0.0,0.0,0.015166690028272756
2023-09-19,-0.017113083546809738,0.02730827986630424,-0.02453836104932383,0.0009380096767555024,0.0,-0.002734609018562262,-0.01018589253883373,0.0,0.0,-0.006097641975706503,-0.003481387538440295
2023-09-20,0.008327004935289706,-0.0063292455193979524,0.0,-0.008903445398969256,-0.019138673298068065,0.005484415331549419,0.0,-0.03633487015505332,0.0,-0.006134957857038881,-0.0076656905170491285
2023-09-21,0.0,-0.02335452145961292,0.0,-0.013948060074738144,-0.002926846339548428,-0.002727349801717849,0.0,0.0,0.0,-0.00617282789603979,-0.004324088507811075
2023-09-22,-0.002608130116731555,0.01062588759630212,0.0,-0.018940270799334025,-0.0024462182962847745,0.007292723102227727,0.0,-0.012568357298870958,0.0,-0.003726663171175315,-0.0029939179785369863
2023-09-25,0.008636639872896312,-0.01051416525810045,-0.02168090343130158,0.0024438382463136676,-0.011770424487418163,0.009954834053904849,-0.02263956779006937,-0.004980513413621601,0.0,0.02867830566055085,-0.0016075489636009355
2023-09-26,0.0,0.07826086956521716,0.0,-0.019502555133228405,0.0008932688788096943,0.005534996899118738,0.0,-0.0005561905186084459,0.0,-0.030303063878381553,-0.00020271656492498735
2023-09-27,0.0,0.023790370290708074,0.0,0.005966891901655336,-0.008825857654790048,0.0,0.0,0.0,0.03619039596294349,0.06249997619559977,0.014081851111478194
2023-09-28,0.04477616041636123,0.02402526870366306,0.0,0.018289912181595147,-0.0020009917387265874,0.10091737928920841,0.0,-0.009460364792840181,0.0,0.011764773358356795,0.015853314481075964
2023-09-29,-0.025714308258249607,-0.008076983781785563,0.0,-0.0016991578146570152,-0.004611490116608108,0.02250003056744343,0.0,0.010674348097071018,0.0,0.015697617257148355,0.0028363442574639297
2023-10-02,0.02639298562650505,-0.030632126365900625,0.018794627992156476,-0.015317181952697156,-0.018531603503375682,-0.009780021862203947,0.008423269281389922,-0.0013730106308235124,0.0,-0.026903272869338357,-0.006130611406096831
2023-10-03,-0.01428570102455895,-0.007599825029744545,0.0,-0.015802563653668056,-0.010261690568864279,0.015637930592419247,0.0,-0.020333737318169454,0.0,-0.05294116645461877,-0.01167672415155685
