Date,BCOLOMBIA.CL,BOGOTA.CL,BVC.CL,CELSIA.CL,CEMARGOS.CL,CNEC.CL,CONCONCRET.CL,CORFICOLCF.CL,ECOPETROL.CL,ENKA.CL,ETB.CL,EXITO.CL,GEB.CL,GRUBOLIVAR.CL,GRUPOARGOS.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,ISA.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFBCOLOM.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,PROMIGAS.CL,TERPEL.CL,AAPL,AMZN,BAC,BRK-B,C,CBU7.L,CENCOSUD.SN,CHILE.SN,CSPX.L,EIMI.L,F,FALABELLA.SN,GE,GOOGL,JETS,JNJ,JPM,LQDA,META,NKE,NVDA,PBR,PFE,RBOT,UBER,VOO
2022-11-27,33298.23046875,28705.228515625,6390.70703125,2492.43115234375,3066.3291015625,36998.4609375,228.82159423828125,14883.3740234375,1865.7744140625,25.115514755249023,110.30000305175781,3532.500732421875,1254.2774658203125,52938.51953125,8985.005859375,462.3653259277344,36519.55859375,11418.294921875,11939.748046875,16103.2822265625,1799.89208984375,34602.23046875,509.3055114746094,24751.7578125,12411.306640625,25680.71484375,5228.75830078125,11287.6875,3500.505615234375,6402.46240234375,146.40771484375,93.41000366210938,35.447059631347656,317.42999267578125,44.195220947265625,125.33999633789062,1231.218505859375,75.69116973876953,416.1099853515625,27.920000076293945,11.53174114227295,1569.0321044921875,54.33614730834961,97.10797882080078,18.610000610351562,164.35623168945312,129.01882934570312,4.989999771118164,110.98604583740234,102.0126724243164,16.254018783569336,6.11815881729126,43.64090347290039,108.5999984741211,28.5,357.5097351074219
2022-12-04,31359.1484375,28637.6484375,6520.98486328125,2427.055908203125,3075.2783203125,34698.5546875,234.19659423828125,14184.0341796875,1751.8690185546875,26.009305953979492,125.0,3214.25732421875,1248.2696533203125,52938.51953125,8962.54296875,468.9914245605469,34435.0859375,11391.1279296875,11727.330078125,16583.326171875,1837.8896484375,39651.33203125,479.0925598144531,24473.298828125,11710.4541015625,24733.8671875,5267.173828125,10821.18359375,3887.55517578125,6521.82568359375,146.11117553710938,94.12999725341797,33.92387390136719,316.1499938964844,43.234256744384766,126.30000305175781,1241.524658203125,75.85255432128906,418.8599853515625,29.18000030517578,11.351556777954102,1511.49755859375,53.55939483642578,100.07720947265625,18.739999771118164,166.9476776123047,127.52809143066406,5.489999771118164,123.02007293701172,108.02018737792969,16.85942268371582,7.640113830566406,45.14851379394531,98.69999694824219,28.75,361.5701904296875
2022-12-11,31772.39453125,28722.123046875,6337.4033203125,2296.304931640625,3008.566162109375,34173.578125,239.07568359375,14255.76171875,1666.8193359375,26.804779052734375,119.23999786376953,3236.103759765625,1214.8934326171875,53112.09375,8715.4560546875,441.6867370605469,37649.03125,11400.8310546875,11593.271484375,16496.046875,1799.89208984375,41487.3671875,474.776123046875,24713.080078125,11351.9365234375,25585.6015625,5010.02978515625,10704.560546875,3752.00927734375,6229.78125,140.526123046875,89.08999633789062,30.622976303100586,306.3900146484375,41.05606460571289,126.5,1236.8402099609375,74.73180389404297,410.510009765625,29.040000915527344,10.79462718963623,1570.0257568359375,50.21193313598633,92.49470520019531,18.110000610351562,164.0171356201172,124.69747161865234,5.650000095367432,115.45895385742188,105.6671142578125,16.988643646240234,7.17768669128418,45.866844177246094,74.69999694824219,26.549999237060547,349.50494384765625
2022-12-18,33377.703125,27471.8671875,5970.265625,2124.695556640625,2832.02197265625,33198.6171875,248.7362823486328,13547.4560546875,1629.6102294921875,21.710172653198242,112.0,3268.4990234375,1154.8162841796875,52916.625,8082.01318359375,448.4246520996094,34609.55859375,11242.673828125,11540.404296875,16417.4921875,1799.89208984375,38035.1640625,458.37481689453125,24310.865234375,11089.4453125,26156.28515625,4865.9462890625,10204.736328125,3796.112060546875,6189.5888671875,132.96401977539062,87.86000061035156,29.979873657226562,300.0,40.58930969238281,127.16000366210938,1227.3770751953125,75.7539291381836,397.6700134277344,28.40999984741211,9.926470756530762,1540.2152099609375,47.86932373046875,89.9339828491211,17.450000762939453,163.9517822265625,121.98951721191406,5.940000057220459,118.97552490234375,102.31611633300781,16.5589542388916,6.279637336730957,45.58306121826172,56.400001525878906,25.969999313354492,342.09954833984375
2022-12-25,32662.46875,31171.953125,5869.5869140625,2181.89892578125,2880.022705078125,35923.50390625,232.2449493408203,13359.1728515625,1714.6595458984375,19.663393020629883,108.0,3232.04150390625,1196.900146484375,53264.76953125,8149.40185546875,456.6772155761719,36914.4140625,11487.2744140625,11838.7314453125,18690.55859375,1759.8944091796875,38990.2578125,462.6909484863281,25262.259765625,11142.6748046875,26270.419921875,5066.14111328125,10512.9619140625,3772.958740234375,6461.9873046875,130.344482421875,85.25,30.708093643188477,306.489990234375,40.50693893432617,126.2300033569336,1262.9803466796875,77.91474151611328,396.5199890136719,28.40999984741211,9.304017066955566,1634.615478515625,50.470252990722656,88.90770721435547,17.229999542236328,165.6410675048828,123.86715698242188,6.170000076293945,117.5908203125,112.26285552978516,15.194948196411133,7.432356834411621,45.96440124511719,53.099998474121094,24.639999389648438,340.1756896972656
2023-01-01,33775.05859375,31256.423828125,5860.7578125,2271.789794921875,2928.8369140625,36473.484375,234.19659423828125,13448.83203125,1837.6778564453125,22.612899780273438,119.69999694824219,3182.43310546875,1184.9310302734375,53090.6953125,8526.7705078125,471.3751220703125,38567.296875,11487.2744140625,11979.3984375,18699.46484375,1849.888916015625,39352.83984375,492.0408020019531,25950.66796875,11444.3076171875,26213.3515625,5420.83447265625,10996.1240234375,3776.487060546875,6454.85693359375,128.43666076660156,84.0,31.32282066345215,308.8999938964844,41.39469909667969,125.62000274658203,1307.01611328125,78.90100860595703,396.0899963378906,28.639999389648438,9.525151252746582,1639.5838623046875,51.70439147949219,87.91131591796875,17.079999923706055,164.86642456054688,126.52792358398438,6.369999885559082,119.8820571899414,112.99678802490234,14.603377342224121,7.137475490570068,45.441162109375,60.599998474121094,24.729999542236328,341.2899169921875
2023-01-08,34115.6796875,33706.2578125,5802.08935546875,2328.175537109375,2993.921875,37173.71875,229.31748962402344,13897.1259765625,2009.295654296875,22.344762802124023,106.87000274658203,3322.83447265625,1196.900146484375,52396.0390625,8927.326171875,474.1546630859375,38572.65625,11998.2138671875,12575.11328125,19589.916015625,1999.880126953125,40219.4765625,496.3570556640625,27502.275390625,11976.6005859375,27297.650390625,5248.4658203125,10827.287109375,3747.294189453125,6511.1259765625,128.13021850585938,86.08000183105469,32.542823791503906,318.69000244140625,43.29832077026367,127.0199966430664,1214.7286376953125,74.85733032226562,400.739990234375,29.780000686645508,10.303215980529785,1699.1058349609375,56.86627960205078,87.02452087402344,18.43000030517578,168.22628784179688,130.15109252929688,5.71999979019165,129.5252227783203,120.25887298583984,14.848198890686035,6.889506816864014,45.157379150390625,59.400001525878906,26.399999618530273,346.3897399902344
2023-01-15,34731.5390625,33030.43359375,5869.35986328125,2373.12109375,2928.8369140625,39323.64453125,225.41421508789062,15233.0439453125,2060.932861328125,20.458864212036133,118.58999633789062,3423.015625,1195.491943359375,52814.43359375,8931.8759765625,482.6826171875,37467.75,12292.228515625,12634.5908203125,19055.646484375,2199.867919921875,39768.4609375,492.0408020019531,27343.759765625,12952.4716796875,26964.75,5466.423828125,10996.46484375,3887.71875,6571.4140625,133.21115112304688,98.12000274658203,33.318328857421875,317.6400146484375,45.68699645996094,128.02999877929688,1218.0078125,75.22493743896484,410.7099914550781,30.719999313354492,10.417880058288574,1792.6116943359375,63.395538330078125,91.78726196289062,20.170000076293945,161.8612060546875,135.9315185546875,6.449999809265137,136.45872497558594,124.43070220947266,16.886716842651367,7.264811038970947,42.434814453125,84.30000305175781,29.440000534057617,355.75396728515625
2023-01-22,35242.0625,33362.71484375,5890.8193359375,2422.77197265625,2973.35400390625,38998.66015625,221.2767333984375,15672.37109375,2087.5107421875,20.72700309753418,108.62000274658203,3641.077392578125,1196.900146484375,54007.5703125,8986.5068359375,469.0345764160156,37170.0078125,12401.9267578125,12631.755859375,19233.734375,2308.877685546875,39869.76171875,481.6820068359375,27415.09375,12996.830078125,25966.056640625,5294.0361328125,10886.4990234375,3991.81298828125,6602.5068359375,136.285400390625,97.25,32.013206481933594,309.8699951171875,46.75779342651367,128.02000427246094,1287.340576171875,74.9918212890625,407.3599853515625,31.040000915527344,10.155793190002441,1838.3212890625,61.403564453125,97.66594696044922,20.239999771118164,157.48406982421875,128.39402770996094,6.420000076293945,138.8396453857422,122.27718353271484,17.826034545898438,7.680325508117676,40.0048942565918,82.80000305175781,30.360000610351562,353.3060607910156
2023-01-29,34115.6796875,31256.423828125,5951.33740234375,2212.386474609375,2694.006591796875,40278.609375,217.51007080078125,14695.08984375,1979.68017578125,20.73594093322754,110.36000061035156,3556.837158203125,1132.83056640625,53248.125,8594.9970703125,460.38616943359375,36773.20703125,11849.4775390625,12244.6845703125,17417.216796875,2249.897216796875,39471.0625,491.17767333984375,27573.607421875,12154.0322265625,24054.271484375,4812.54638671875,10556.6064453125,3705.07373046875,6591.5107421875,144.2527618408203,102.23999786376953,33.52638626098633,309.1700134277344,47.46249771118164,127.83000183105469,1381.970458984375,77.41264343261719,421.2699890136719,31.6200008392334,10.868338584899902,1843.289794921875,65.79066467285156,99.0110855102539,20.299999237060547,157.00807189941406,133.3746795654297,6.679999828338623,151.16256713867188,123.15597534179688,20.350196838378906,7.566394805908203,38.834285736083984,84.30000305175781,30.360000610351562,362.20404052734375
