Date,AAPL,AMZN,BAC,BRK-B,C,CBU7.L,CENCOSUD.SN,CHILE.SN,CSPX.L,EIMI.L,F,FALABELLA.SN,GE,GOOGL,ISAC.CL,IUFS.CL,IUIT.CL,JETS,JNJ,JPEA.CL,JPM,LQDA,META,NKE,NU,NVDA,PBR,PFE,RBOT,SDHA.CL,SGLD.L,SUAS.CL,UBER,VOO
2024-02-19/2024-02-25,0.0011519731845774928,0.0323285420560091,-0.004986962867322364,0.027660807548100186,0.019690085110122935,0.0008510685520430883,-0.03966002214568054,-0.05600350109643293,0.01253241080961165,0.010053459093304129,0.013623715076879206,-0.057652009554662764,0.02795648854597399,0.02448044084388412,0.0005876207887176577,0.012727272727272698,-0.007854871890779824,0.007503732878826552,0.041640384131754304,-0.0028790786948176272,0.027704959335489,-0.01850585708978081,0.022627280393871407,0.02048107809763322,-0.013513455047096001,0.08543933456320252,-0.019209050882589285,0.0050687221466456656,-0.06166216320444806,-0.004128819157720898,0.01356293937576436,-0.004931313842902463,-0.0026783153176750396,0.016883434948095966
2024-02-26/2024-03-03,-0.01566941491403495,0.018458172616408364,0.012676930684722532,-0.024231858107379156,-0.005900197815487451,0.004638266084451503,0.007079635436613385,0.029709447635656305,0.004580746599730512,-0.0009332066118251658,0.025535330836699677,0.14603174603174596,0.03469640465497226,-0.04737425781754878,0.02192495921696569,0.02782764811490135,0.021489161168708693,-0.0019860481326166024,0.001730102637117703,0.004812319538017418,0.007065369298938862,0.01396653402246506,0.038846700621214536,-0.03550129580232919,0.1027397420059093,0.04392447007457756,-0.039170530478232934,-0.0421469299732572,0.042857124691917825,0.011608623548922115,0.018825747091812506,0.019469026548672552,0.03618928313933001,0.009961896873826648
2024-03-04/2024-03-10,-0.049705120694280125,-0.016103664558016484,0.04369078534703963,-0.009727080144345868,0.03435239854362382,0.00654040320725735,-0.022261292319480264,0.003155697976418459,0.008356579818321386,0.009651350672471137,-0.021686675641362507,-0.0344282312604719,0.058682677297073216,-0.012614760857000196,0.013345252538152108,-0.010043668122270755,-0.009595866396014063,0.0,-0.016037437197915172,0.014367816091954033,0.015813220853663434,-0.03305788435109824,0.007266666418912715,-0.023220628418682443,-0.01774629590202692,0.06379523802810327,-0.11390878387061687,0.023693022617542914,-0.02739727816990678,-0.0008196721311475308,0.048741481417753585,0.0010416666666666075,-0.02875480520987006,-0.0022060273157548105
2024-03-11/2024-03-17,0.01107015836308367,-0.005303723422862561,-0.005337133361229762,0.01235274975002687,0.001738985245510527,-0.010473168280381917,0.0155782170180232,-0.009527279953584489,-0.007844368062093432,-0.0030835175201997522,-0.009852174553602766,0.015204989392968438,0.005536894391433789,0.04261111262531836,0.000945179584120881,-0.0004411116012351668,0.011552077510713632,-0.021890573418260062,-0.00840033428572573,0.0037771482530688516,0.011050867257746733,0.13247860838539194,-0.04318620393076922,0.0048406983300974815,0.048780485703671994,0.003577314200731596,-0.01623825869552764,0.026451129341880097,0.07887325658926292,-0.00656275635767023,-0.006476193382626505,-0.013180714533472027,-0.03341800959849606,-0.0008078254823520314
2024-03-18/2024-03-24,-0.001969652692796142,0.025513111999530436,0.04631452344253151,0.008502195817970959,0.05571937225462076,0.006257706607819324,-0.0035398177183066926,0.022686026036590423,0.023254084367589467,0.00278367871307017,0.07048085039980934,0.009244654240945227,0.03706562641835087,0.06792767767963204,-0.011898016997167193,0.003971756398940762,-0.011604347025234829,0.034079353077011376,-0.018649621280960038,0.0,0.03321065411365787,0.05220125431567624,0.052633824692355446,-0.05800884674860496,0.05512492353560683,0.0734541949052705,0.010316348820241572,-0.020758755559412423,-0.10704957064734821,-0.002477291494632494,0.00124613931938522,0.03796133567662574,0.054686521346107186,0.01951012117837636
2024-03-25/2024-03-31,-0.004643623249263373,0.008441939994663139,0.02348185404457115,0.02167148391128282,0.03978963318620776,7.673325785750862e-05,0.006512731851541886,-0.03283049732416077,0.004454243882086484,0.005243738224680827,0.028659966341881615,0.02919995829138977,0.0021694629194790593,0.001061129036419306,0.015800203873598262,0.02285714285714291,0.026276556093924652,0.03344812138355491,0.019068553372715957,0.00470366886171214,0.01871634704228642,-0.11835024485431989,-0.04709769532534336,0.0012784477907148428,-0.026122424067283156,-0.04171216514710108,0.03539826595921469,0.014254371661061693,-0.11695904312820038,0.005794701986755024,0.025323162754821382,-0.01760921097189294,-0.04038396307612835,0.006398256081617815
2024-04-01/2024-04-07,-0.01107996752160012,0.026000678093191176,-0.02136066159508232,-0.00451820114649204,-0.025933014508263574,-0.005911170321993731,-0.03235295314924269,0.008532112891521004,-0.011004755194323979,0.004602685645185289,0.0,-0.04391759466265721,0.11572905069768336,0.01040218571716589,-0.025652282990466624,-0.0012892135797163418,-0.04339930996913022,-0.04236075106867354,-0.0366647022798442,-0.022471910112359605,-0.01422863482076231,0.0650847483489474,0.08600026733463784,-0.05469251070149561,0.004191050778000083,-0.025986078102486876,0.01840901973066078,-0.03927928647757506,-0.09271524433587486,-0.016460905349794275,0.04673418176730393,-0.005170630816959676,0.002208154345459956,-0.008758148051952852
2024-04-08/2024-04-14,0.041101538832207574,0.005727549125433162,-0.03556991573524437,-0.03669195339621234,-0.031168822244782346,-0.007568236502853987,0.008510600576908889,-0.02392429042224009,-0.007466840385814688,-0.012828404462752796,-0.05045183523013674,0.0026422836697661545,-0.010684607730204854,0.03429505567354396,-0.0019311232700354175,-0.04475043029259895,-0.003986332574031914,-0.02882703277899834,-0.031957577442655705,-0.01819923371647514,-0.06884673039449263,-0.11203056808454548,-0.029278943644709843,0.03556962510096651,-0.05759596049654747,0.0020225176230002084,0.014848301266047859,-0.030007441728275963,0.14233577108104556,-0.02175732217573223,0.030107047689025057,-0.04158004158004158,-0.024365018060979016,-0.014522851770097711
2024-04-15/2024-04-21,-0.0654205785821187,-0.061784772461809134,0.032970039698238196,0.004513159655226806,-0.009048234176146974,-0.0028013432864353316,-0.022905306577526985,-0.024697124422267125,-0.03153068442136575,-0.022277206687900897,-0.03727194698194547,0.005878768686982783,-0.04078518339282233,-0.023077469771806025,-0.001999355046759077,0.0108108108108107,-0.002096436058700246,0.04708281094369049,0.002643836167729674,0.013658536585365866,0.016467016052411854,-0.04731181766567183,-0.0602266114724449,0.027499958395033275,-0.07174494440686907,-0.13591723627790664,0.04770989593244046,0.0054137706685633,-0.07987220155250863,0.022241231822070162,-0.001905184876468513,0.006869125090383177,-0.08076516909730314,-0.030815371488579713
2024-04-22/2024-04-28,0.02606062451053215,0.028574644075189726,0.023262110775088107,-0.00735652356949601,0.059519830853346,-0.001248505972181957,-0.0018507447576208147,0.010797871351569288,0.021076495508385085,0.03227843475005665,0.05354192304959904,0.00370815121849577,0.09651504819658263,0.11590647394356135,-0.006203955021326091,0.024955436720142554,0.01948051948051943,0.0004887697619413434,-0.011966764772737837,0.015399422521655382,0.04138863119861114,-0.057185871411836287,-0.07853323110508104,-0.004337166360649403,0.05438937723244419,0.1513779622974678,0.03521544674831589,-0.0230768752932905,-0.06249999310131449,0.01589958158995808,-0.024120418598287174,-0.0028725314183123407,-0.0021675419523004003,0.026609493097787595
