Date,BCOLOMBIA.CL,BHI.CL,BOGOTA.CL,BVC.CL,CELSIA.CL,CEMARGOS.CL,CNEC.CL,CONCONCRET.CL,CORFICOLCF.CL,ECOPETROL.CL,ENKA.CL,ETB.CL,EXITO.CL,GEB.CL,GRUBOLIVAR.CL,GRUPOARGOS.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,ISA.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFBCOLOM.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,PROMIGAS.CL,TERPEL.CL,AAPL,AMZN,BAC,BRK-B,C,CBU7.L,CENCOSUD.SN,CHILE.SN,CSPX.L,EIMI.L,F,FALABELLA.SN,GE,GOOGL,ISAC.CL,IUFS.CL,IUIT.CL,JETS,JPEA.CL,JPM,LQDA,META,NKE,NU,NVDA,PBR,PFE,RBOT,SDHA.CL,SGLD.L,SUAS.CL,UBER,VOO
2022-12-12/2022-12-18,0.0505252576440709,-0.30425743597176236,-0.043529204102661256,-0.05793188104909763,-0.07473319872488482,-0.05868030320795525,-0.028529670903462034,0.040408119343908755,-0.049685506112900235,-0.02232337680621055,-0.19006337459564127,-0.060717863078470935,0.01001055603990686,-0.049450396025079835,-0.003680460103385741,-0.07268058842456104,0.015255051921344576,-0.08073182371002174,-0.013872419986362683,-0.004560184216317209,-0.0047618953867705205,0.0,-0.0832107321547706,-0.03454550135927725,-0.01627553803402859,-0.023123033712843077,0.0223048730105464,-0.028758879837096685,-0.046692665485523976,0.011754449801195888,-0.006451652345337178,-0.053812489939958685,-0.013806215940048716,-0.02100062126151392,-0.020855818867888454,-0.011368693682616504,0.005217420253829097,-0.007651056853919647,0.01367724570906681,-0.03127815651857413,-0.02169425097291855,-0.08042501562167415,-0.01898734177215189,-0.04665447682419288,-0.027685015522321166,-0.02443054790525867,-0.03955763504891541,-0.01869158878504673,-0.0364439439629205,0.0025220680958386588,-0.021716185518566244,0.05132742601027651,0.03045734010764689,-0.03171262513359341,-0.007633580376634641,-0.025292574673970614,-0.1251166977162833,-0.006187115954057187,-0.24497986840672703,0.0021897810218978186,-0.007862238836083169,-0.00017497812773403787,-0.021845572142105585,-0.021188270688890176
2022-12-19/2022-12-25,-0.021428343570164876,0.020895535532082343,0.1346864833948893,-0.01686335537834638,0.02692326692813718,0.016949200033147926,0.0820783198095365,-0.06630047234001024,-0.013898120719303075,0.05219005338557481,-0.0942774544027779,-0.0357142857142857,-0.011154271078729794,0.03644175007079942,0.006579228642008106,0.008337933746970005,0.018403192468696483,0.06659603435655148,0.021756433952341503,0.025850682800018232,0.13845408933705805,-0.0222221589230146,0.0251106305459996,0.009416150445580085,0.039134588854421004,0.0048000139490747,0.004363569403804668,0.041141969530462896,0.03020422358963115,-0.006099163319742362,0.044009132649189375,-0.01970123959249437,-0.02970635775347419,0.024290178547702768,0.02163330078124992,-0.0020294149903046232,-0.007313622824728694,0.02900760671182434,0.028524096406776778,-0.0028919062922291294,0.0,-0.06270620307794106,0.06129032258064515,0.05433388662146754,-0.011411503628783737,-0.033378723969577195,0.00797165633303809,-0.04761904761904767,-0.012607519259848154,-0.006708595387840632,0.015391622319326892,0.03872054155856541,-0.011638605110201317,0.09721577882068,-0.0025641000560834293,-0.08237284992617133,0.183564696293248,0.00836577377850456,-0.05851069082407068,-0.004734158776402042,0.004685316611037882,-0.05792789639481977,-0.05121293642168612,-0.005623612092588881
2022-12-26/2023-01-01,0.03406308493659016,-0.0009746169761233325,0.0027097702545657576,-0.0015042117429673318,0.04119847191225956,0.01694916810879299,0.015309766836366867,0.008403390054338322,0.006711432454528543,0.07174486261444124,0.1499999999999999,0.10833330507631644,-0.01534896533964547,-0.00999991458208116,-0.003268040055217858,0.0463066627983848,0.032184858633554914,0.04477617729205541,0.0,0.011881942427953263,0.0004763117200587974,0.05113626668727189,0.009299056019217655,0.06343288329552732,0.027250398868610137,0.027070054343963257,-0.002172342868698496,0.07001254317350014,0.04595892597739315,0.0009349701539946853,-0.0011034331634445227,-0.014636827895629034,-0.014662756598240456,0.02001847747325214,0.007863237752940844,0.021916013027088344,-0.004832453411465876,0.03486654936264877,0.01265828610417441,-0.0010844161396524887,0.008095724867005938,0.023767637088686344,0.003039513677811634,0.024452862946928722,-0.011206972068969812,0.011201209455744987,0.012741652021089678,0.010675675675675622,-0.008705723883658645,-0.015618404390038032,0.021480922908515332,0.032414879544907294,0.01948487730802695,0.006537532400231694,0.0462725094866383,-0.03893196721131431,-0.03967551496831345,-0.01138336049858224,0.14124294191185727,-0.005854372484449311,0.012291982709575766,0.009288500835965108,0.0036526036857655875,0.003275369537641515
2023-01-02/2023-01-08,0.010085023388861192,0.013707226049758825,0.07837827861812219,-0.010010387548538557,0.024819985903451913,0.022222132823277674,0.019198450244034326,-0.020833371339694207,0.03333337448080664,0.09338850703130697,-0.011857784189711063,-0.10718458252933616,0.04411762358030602,0.010100922948768964,-0.013084280710567109,0.04697608972636891,0.005896557011273007,0.00013876136767132508,0.04447878810050043,0.049728243063368316,0.047619120593442865,0.08108113280108631,0.022022352190129935,0.008771948565590604,0.05979082557253479,0.046511677518444206,0.04136437210402977,-0.03179754824268377,-0.015354324430927213,-0.0077301643580754975,0.008717318377097216,-0.002385812627077044,0.02476192656017484,0.0389490896889344,0.031693132853225725,0.04598731964967406,0.011144673347194933,-0.07060928679314504,-0.05125002018524394,0.011739740815159605,0.03980451540823382,0.08168517601771375,0.03630304509943172,0.09983465768498512,-0.01008736365844487,0.033163438668025735,0.06073752711496749,0.00294156972857329,0.07903983533372294,0.05789022298456259,0.02863547207397943,-0.10204083313109547,0.08043873732533213,0.06426796128289025,-0.12530717625833743,0.01676474047243781,-0.034741850521504136,-0.006245239619283471,-0.01980193033758304,0.0003680529996319404,0.02283520238496206,0.010123320449107354,0.06752932095456599,0.014942889775743096
2023-01-09/2023-01-15,0.01805220413389841,0.09234399055276343,-0.020050054515043936,0.011594186799121609,0.019305060145641928,-0.021739044880492164,0.05783456306076462,-0.01702126838442375,0.09612901217420955,0.025699116255167187,-0.0844000344854372,0.10966588649857067,0.03014930372258129,-0.001176340634235773,0.007985117711585499,0.0005100341263737374,0.017985124485072168,-0.028644779454208735,0.024504776320961597,0.004729679316127333,-0.027272728159275617,0.09999995727303568,-0.011213624917297826,-0.008695670590427973,-0.005763767788964369,0.081481387862401,-0.012195203098480989,0.04152809190716655,0.015625165444472344,0.03747399840950183,0.009259241205670676,0.03965442893042481,0.13986989613636047,0.023830315331871743,-0.003294699503985199,0.05516793999261349,0.00795152072841443,0.0026995122226713963,0.004910769795244407,0.02487897755068591,0.031564761754035775,0.011129030479887225,0.05503244297466048,0.11481792780870426,0.05472877173542101,0.017924093928829876,-0.003476482617586929,0.030395947207038976,0.09441127196452137,-0.019862180786380246,0.044413133985759856,0.1276223856380645,0.05353018782373353,0.03469055766334539,0.03370790053551764,0.1372904945679787,0.05447461791565367,-0.060290661713579996,0.4191919341118313,0.0331125827814569,0.026857217134167888,0.02441690962099119,0.11515155149447631,0.027033952999557576
2023-01-16/2023-01-22,0.01469906490463524,-0.07488987761385846,0.010059508062345124,0.003656186220664548,0.020922118328588146,0.015199781873873164,-0.008264350338680782,-0.01835501673148643,0.02884047041036153,0.012896153135646404,0.01310624615898659,-0.08407111813126089,0.06370475776008622,0.0011777260412340063,0.022591354828127574,0.00611620463346596,-0.028275177178254007,-0.00794662672697688,0.008924223696289202,-0.000224173646560355,0.009345828123021649,0.04955284842925134,0.002547146522640098,-0.021052664348975347,0.0026087037680146974,0.0034247053021596585,-0.03703699679674388,-0.03153589575139626,-0.010000113016416012,0.026774899830174004,0.004731519447987997,0.023078071678456658,-0.00886672158814572,-0.03917095080557598,-0.024461715063984646,0.023437608187465653,-7.806378919961166e-05,0.056923086174272886,-0.0030989211535268346,-0.008156621882139059,0.010416719053562673,-0.02515740943721756,0.02549889135254979,-0.031421429874628704,0.06404683819516732,-0.02839972860327611,-0.06628360352965323,0.005304696597231207,0.003470485600368889,-0.028535980148883366,-0.055450734536933055,-0.004651121528422064,0.017447819165059775,-0.01730699360520782,0.03532605262610611,0.05562454420900198,0.0571957529141669,-0.05726217916887566,-0.01779359366190103,-0.03311965811965811,0.007635261147397765,-0.0030238349341871196,0.031250002024614254,-0.006881003808575925
2023-01-23/2023-01-29,-0.03196136338336142,-0.004761845592295422,-0.0631328434380376,0.010273285082272654,-0.08683669048631759,-0.0939503498677422,0.032820338278849226,-0.017022406919185107,-0.062356887007814055,-0.05165511415424551,0.00043130904272947745,0.016019129255861575,-0.02313633988380437,-0.05352927427383125,-0.01406184904979979,-0.04356662676379364,-0.01843894019210235,-0.010675274096352605,-0.044545387076505794,-0.030642775213403084,-0.09444446430969444,-0.025545063030752546,-0.010000115851169333,0.019713079947771606,0.005782028146877671,-0.0648464161258071,-0.07362631849377277,-0.0909495389955487,-0.03030311075264902,-0.07183182295776835,-0.0016654422362955001,0.058460953801414695,0.05131103201819576,0.0472674046429129,-0.0022589527882117544,0.015071438508338142,-0.0014841621236152402,0.07350804019080792,0.03228114882319533,0.03414671092474797,0.01868556400125354,0.07016147482816426,0.002702702702702675,0.07144682862487728,0.013772767247794304,0.0035913806863527853,0.03384615384615386,0.0012870012870012104,0.002964400524747113,0.0025542784163474774,0.038792071968794195,0.040498403264002336,0.08875657317203611,0.0071868288289189675,0.14698161448553715,0.14159975922844392,-0.014834293353618189,-0.02926189198209672,0.01811594136128658,-0.0353591160220994,0.0026870163106187395,-0.017841213202497763,0.0,0.02518479766430537
2023-01-30/2023-02-05,-0.008076039048227734,-0.022966541691846754,-0.01351371021218839,-0.010948825758784642,-0.05584899265829668,-0.015384800765830375,-0.0193643415724305,-0.030506905071576162,-0.0799268436598558,-0.026850793565621367,0.020258646262442337,0.07557082540563487,0.013157956494544765,-0.06774408782692398,0.0,-0.01747863985476672,0.011215129062749796,-0.02132996012253674,-0.01834863895116401,-0.0281418378416306,-0.028629762418063587,-0.044444413096714874,0.01010112830444121,0.01933229269111192,0.0,-0.05109487760821407,0.01225776314579008,-0.012681148868987524,-0.037660099776431144,0.0003235275423749684,-0.012195196028509048,0.058726699559231266,0.011248058977967101,0.027644396145935834,-0.0021347596255923973,-0.01754725970686688,-0.00015649121625904705,-0.018305108460289432,0.006601896393186646,0.027535799857651755,-0.023402962012215367,-0.003014349834692953,-0.00781671159029651,-0.015258941329540199,0.05444290970743482,-0.005301524188204065,0.014455782312925214,0.07326478149100257,0.021674903970160475,-0.01995753715498938,0.005487260566171992,0.06736531402190371,0.22927373330249656,0.000627345300972193,0.1212815157180589,0.036091514810829395,-0.0398583608116736,0.015402850700499515,0.049822026052164015,0.002290950744558984,-0.033229697113285384,0.05504087193460494,0.08992093173099303,0.01603787450584493
2023-02-06/2023-02-12,-0.03017250517975656,-0.02056808347396588,-0.09589026938637779,0.021428563725711003,-0.06075137934610486,-0.10624992237897712,-0.007341827032813275,-0.04613602788795723,-0.03249334130344905,0.03626330982587178,-0.01901152819516383,-0.06983987783712897,0.038961018034423756,-0.0599999735980975,0.0,-0.09218324786293408,0.039075855532914705,0.0,-0.007873135948497145,-0.002160960060594519,-0.015789585413852225,-0.11581401903534172,0.13333320897332102,-0.02586218635927595,-0.03305551655003347,-0.03846156451548444,-0.011718770993340621,-0.027522781816532227,-0.018318202982826937,-0.034446921402118136,-0.011111089446804723,-0.02258895085530921,-0.05590481490877708,-0.02333245209753021,0.004473128388478909,-0.006786703511085013,-0.01056254205389684,0.0013812472849237256,0.012541688218776992,-0.024326007572888386,-0.0220206741032265,-0.03779291162060039,0.03662049682915658,-0.008174765579946786,-0.09744229131503446,0.03194536975349771,0.0044006705783739,0.008742514970059956,-0.05255545634604053,0.025996533795493937,-0.0003545313338008116,-0.03646566966461029,-0.06637008979684,-0.042159671249176967,-0.032653126762290374,0.007819760442101531,0.06365345618607954,-0.00408531890858943,0.05762710140249827,0.036190476190476106,-0.00454599901331354,-0.006198347107438051,0.03656691081574448,-0.010109651066058434
2023-02-13/2023-02-19,-0.0271605315834359,-0.0009999570444211292,-0.044396748333841995,0.018181855097086697,-0.077446806851167,-0.0034965662690746857,-0.06222897650729564,-0.030223683645573263,-0.11309120146201845,-0.03537481565311695,-0.0478035242426782,-0.029979214547605437,0.025000051697460224,-0.009219834335088106,-0.057358724291306395,-0.01840864747871085,-0.0557870119064755,0.020512964427055858,-0.018072200088964818,-0.015529724207536066,-0.03850251464755239,0.051551929585992085,-0.0002888194224563989,0.017699341209765684,-0.028834747474343447,-0.04239999112331616,-0.012252919000416806,-0.07735844300827044,-0.10771837806215379,-0.02203297235209234,-0.011235932902300516,0.01174062293519551,-0.004200426795877843,-0.00646434587266187,-0.005324548504521576,0.026142597518372224,-0.005693509615022019,0.0379310533829913,-0.022727279320166827,-0.005398491260753757,-0.01423842034148104,0.0764028659854794,-0.012526874630866658,0.02152777003980777,-0.002326269579577156,0.06568966073791915,0.06300855414145623,0.05318770034429532,0.01272264655742017,0.022804054054053946,0.00850825936529076,0.13973799914682927,-0.007292399844518349,0.021353092349805092,0.0527426185805544,0.0057842435682982085,0.0017343727628764682,-0.015268885388949105,-0.01602564128689299,0.00588235294117645,-0.012586291699510976,0.023562023562023526,0.01370265980050811,-0.002133049193989822
