Date,BCOLOMBIA.CL,BOGOTA.CL,BVC.CL,CELSIA.CL,CEMARGOS.CL,CNEC.CL,CONCONCRET.CL,CORFICOLCF.CL,ECOPETROL.CL,ENKA.CL,ETB.CL,EXITO.CL,GEB.CL,GRUBOLIVAR.CL,GRUPOARGOS.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,ISA.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFBCOLOM.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,PROMIGAS.CL,TERPEL.CL,AAPL,AMZN,BAC,BRK-B,C,CBU7.L,CENCOSUD.SN,CHILE.SN,CSPX.L,EIMI.L,F,FALABELLA.SN,GE,GOOGL,JETS,JNJ,JPM,META,NKE,NVDA,PBR,PFE,SGLD.L,VOO
2015-07-19,14769.9970703125,32155.013671875,4562.46484375,1849.73291015625,6501.25634765625,29146.91015625,1096.9130859375,19945.49609375,1104.4560546875,10.852191925048828,494.78228759765625,4955.7021484375,937.7365112304688,43913.26953125,12611.12109375,733.8110961914062,29264.845703125,10218.580078125,9135.498046875,5178.98828125,1073.1768798828125,17326.97265625,730.884521484375,15180.3916015625,15223.388671875,20901.095703125,11245.0546875,25543.27734375,3686.435302734375,7774.58837890625,29.030576705932617,24.15049934387207,14.606353759765625,143.8800048828125,44.35877227783203,120.22000122070312,1104.8966064453125,39.97834777832031,195.69000244140625,23.489999771118164,8.52639102935791,4048.22802734375,113.7542495727539,34.772457122802734,22.466211318969727,75.77007293701172,52.68444061279297,94.45182800292969,49.97025680541992,0.48571810126304626,2.5318751335144043,22.02739715576172,111.2249984741211,163.55357360839844
2015-07-26,14434.0634765625,32155.013671875,4401.4365234375,1794.1978759765625,6508.0361328125,29696.853515625,1061.095458984375,19891.875,1101.068115234375,11.210941314697266,486.0849304199219,4867.98828125,926.5057983398438,43928.41015625,12700.8818359375,710.7899780273438,28694.44921875,10218.580078125,9007.2607421875,4969.3125,1132.9820556640625,16890.02734375,710.821044921875,14960.3876953125,15223.388671875,20491.2734375,11150.4443359375,25193.376953125,3696.19921875,7764.50439453125,27.88387107849121,26.47100067138672,14.444960594177246,141.25,44.32101058959961,120.49500274658203,1071.224609375,39.389442443847656,193.02999877929688,22.579999923706055,8.352264404296875,4031.929443359375,107.53199005126953,32.54332733154297,22.075578689575195,75.06597137451172,52.45610427856445,96.42102813720703,50.05440902709961,0.46998733282089233,2.1178579330444336,21.51864242553711,106.80000305175781,160.04495239257812
2015-08-02,14825.9892578125,31944.13671875,4240.40771484375,1792.061767578125,6575.82861328125,28247.005859375,1056.618408203125,20256.47265625,1114.6197509765625,10.762504577636719,531.50439453125,4736.42236328125,929.3134765625,43928.41015625,12940.2353515625,705.034423828125,29312.38671875,10267.9482421875,9140.2705078125,5004.2587890625,1176.1749267578125,16935.220703125,707.9546508789062,15235.3896484375,15223.388671875,20790.759765625,11272.0859375,25403.318359375,3696.19921875,7764.50439453125,27.167177200317383,26.8075008392334,14.428821563720703,142.74000549316406,44.13981628417969,120.875,1079.0064697265625,40.10057067871094,194.8000030517578,22.43000030517578,8.607653617858887,4063.786376953125,108.99359893798828,32.679012298583984,22.447158813476562,75.86848449707031,52.16682434082031,93.4970703125,51.04230499267578,0.4828139543533325,2.1656293869018555,22.649215698242188,107.73500061035156,161.95875549316406
2015-08-09,14937.9736328125,31770.763671875,4320.921875,1708.7596435546875,6372.453125,25797.26953125,1056.618408203125,19767.54296875,1060.413330078125,10.762504577636719,523.7734375,4275.93603515625,932.1211547851562,43928.41015625,12506.4013671875,699.2263793945312,28995.49609375,9757.841796875,8958.2265625,4892.431640625,1176.1749267578125,16121.6171875,702.170654296875,15400.3935546875,14783.5732421875,20302.125,10947.7109375,25053.40625,3696.19921875,7714.0859375,25.87264633178711,26.131000518798828,14.323915481567383,143.5500030517578,43.76167297363281,120.72000122070312,1036.5797119140625,40.89501953125,190.9199981689453,21.979999542236328,8.678011894226074,4034.615234375,107.69905090332031,33.021461486816406,23.11409568786621,74.8388442993164,51.80143356323242,93.78548431396484,50.72777557373047,0.556143581867218,1.9267735481262207,22.102773666381836,107.67500305175781,160.04495239257812
2015-08-16,14411.66796875,31009.025390625,4374.5986328125,1687.4007568359375,6304.66015625,25247.326171875,1038.7095947265625,19552.798828125,1036.6981201171875,10.224377632141113,541.1681518554688,4425.04541015625,946.1589965820312,43913.26953125,12670.9619140625,690.5585327148438,29138.087890625,9757.841796875,8834.568359375,4738.66943359375,1199.56494140625,15488.8037109375,687.781982421875,14982.3857421875,14783.5732421875,19750.43359375,11028.8037109375,25039.4140625,3696.19921875,7593.080078125,26.0887508392334,26.576000213623047,14.283567428588867,142.57000732421875,43.51985549926758,120.75,1018.4713134765625,40.12245178222656,192.2949981689453,21.520000457763672,8.666284561157227,4082.029296875,108.91009521484375,34.26301574707031,23.600004196166992,74.80857849121094,51.67964553833008,93.90483856201172,50.66131591796875,0.5696964263916016,1.9076645374298096,22.357784271240234,109.43000030517578,161.1781463623047
2015-08-23,13437.451171875,30892.658203125,4294.08447265625,1666.041259765625,6345.3330078125,26947.14453125,1038.7095947265625,19574.2734375,992.6552124023438,10.672815322875977,553.73095703125,3916.320556640625,940.5438232421875,43960.1015625,12820.5556640625,664.5543212890625,28124.037109375,9757.841796875,8389.4013671875,4661.78759765625,1202.906494140625,15549.1689453125,659.0045166015625,13662.3515625,14783.5732421875,18851.970703125,11042.3193359375,24073.671875,3636.064208984375,7593.080078125,23.793949127197266,24.723499298095703,12.992396354675293,134.22000122070312,40.504676818847656,121.53500366210938,981.8060913085938,39.88954162597656,184.63999938964844,20.010000228881836,8.126842498779297,3931.916259765625,102.6878433227539,32.009525299072266,21.91360855102539,72.34800720214844,48.41397476196289,85.5904312133789,47.34325408935547,0.5196000933647156,1.6783629655838013,21.231035232543945,113.7750015258789,151.96170043945312
2015-08-30,13717.40234375,29231.6328125,4320.921875,1431.0865478515625,6372.453125,27147.123046875,1029.7552490234375,18640.12109375,1023.1465454101562,10.045003890991211,541.1681518554688,3289.181640625,954.5819091796875,43960.1015625,12147.3662109375,641.439208984375,26428.6796875,8655.3515625,8428.5625,4354.2646484375,1289.782958984375,14794.3603515625,661.8822631835938,14190.365234375,13859.603515625,17654.017578125,10474.6591796875,23079.927734375,3356.3681640625,6756.12744140625,25.488056182861328,25.90049934387207,13.20220947265625,135.74000549316406,40.26285171508789,121.28500366210938,1027.3758544921875,40.741641998291016,184.19000244140625,20.489999771118164,8.056480407714844,3894.133544921875,105.06817626953125,32.78786087036133,21.780223846435547,72.60394287109375,48.81742858886719,90.5134506225586,49.83734130859375,0.5524080395698547,1.840785026550293,20.67398452758789,111.55999755859375,153.3718719482422
2015-09-06,14086.9296875,31296.84375,4347.759765625,1597.6907958984375,6677.5146484375,30946.724609375,1119.299072265625,19515.83984375,1026.534423828125,10.045003890991211,548.8991088867188,3618.099853515625,954.5819091796875,43960.1015625,12955.2001953125,673.29541015625,26777.259765625,8655.3515625,8532.294921875,4682.75537109375,1269.7344970703125,15081.1806640625,676.5521850585938,14531.375,13881.8134765625,18788.923828125,11231.541015625,23247.884765625,3356.3681640625,6453.6142578125,24.583637237548828,24.950000762939453,12.629252433776855,129.63999938964844,38.230072021484375,121.30500030517578,1078.407958984375,40.378082275390625,177.66000366210938,19.530000686645508,7.950937271118164,3933.30615234375,100.22400665283203,31.26051902770996,22.14227294921875,69.6591796875,46.815399169921875,87.7784423828125,48.59251022338867,0.528590977191925,1.6433305740356445,19.85740852355957,110.04499816894531,148.142578125
2015-09-13,13694.998046875,31105.685546875,4294.08447265625,1672.4488525390625,6833.4365234375,28446.986328125,1047.6639404296875,20031.96875,982.491455078125,10.224377632141113,549.865478515625,3530.388427734375,971.42724609375,43960.1015625,13733.1083984375,696.5126953125,27632.86328125,8655.3515625,8625.435546875,4927.376953125,1310.043701171875,15262.3369140625,705.4650268554688,14388.37109375,14714.71875,20396.697265625,11528.884765625,24213.63671875,3356.3681640625,7008.2216796875,25.69503402709961,26.472000122070312,12.985649108886719,131.3699951171875,38.61545944213867,121.30500030517578,1100.4071044921875,41.366512298583984,179.6300048828125,20.18000030517578,8.038887023925781,3915.06298828125,104.19120025634766,32.56966781616211,22.809207916259766,70.89506530761719,47.6223030090332,91.54776000976562,49.66170883178711,0.5504635572433472,1.4522453546524048,20.870220184326172,108.2750015258789,151.35736083984375
2015-09-20,13930.16015625,31063.236328125,4374.5986328125,1678.856689453125,6691.07421875,33746.42578125,1087.9586181640625,20343.791015625,975.7156982421875,10.045003890991211,560.4955444335938,3543.545654296875,982.6578979492188,44611.921875,13583.509765625,693.6106567382812,28504.302734375,9531.5859375,8604.7900390625,5039.205078125,1310.043701171875,16035.431640625,693.8999633789062,14377.3701171875,14714.71875,19687.384765625,11623.49609375,24661.51953125,3356.3681640625,6907.38427734375,25.524049758911133,27.01300048828125,12.597054481506348,129.10000610351562,38.003360748291016,121.53500366210938,1128.84130859375,41.43468475341797,182.19500732421875,20.719999313354492,8.373108863830566,3955.62353515625,103.5648193359375,32.848995208740234,23.342758178710938,71.24598693847656,46.389122009277344,93.88494873046875,51.096229553222656,0.5660175085067749,1.4203977584838867,20.794261932373047,111.7249984741211,151.19789123535156
